# surfer's emoji set — the source of truth for BOTH the baked atlas and
# the names you can reach it by (`surfer.emoji("fire")`).
#
# One line per emoji: NAME CODEPOINT. Names are lower_snake, chosen to be
# typed rather than to match Unicode's official names, which are long and
# shouty ("GRINNING FACE WITH SMILING EYES"). The codepoint is what the
# font is keyed on, so `"\U0001F525"` and `surfer.emoji("fire")` are the
# same glyph by construction.
#
# WHY A CURATED SET AND NOT ALL OF UNICODE. An emoji is a 16x16 ARGB
# picture — 1 KB each, against a whole-build atlas budget of 1.25 MiB. The
# ~4,000 Unicode has would be 4 MiB at one size. The top 100 emoji are
# ~82% of all use (Unicode's own frequency data), so a couple of hundred
# is most of the value for 5% of the bytes. Add a line and rebuild to
# extend it.
#
# Art: Twemoji (github.com/jdecked/twemoji), graphics CC-BY 4.0 — see
# LICENSE.txt in this directory. Sequences (flags, skin tones, ZWJ
# families) are deliberately absent: they are several codepoints that
# have to be composed, and surfer's text path is one codepoint per glyph.

# ---- faces ----
grinning        1F600
smiley          1F603
smile           1F604
grin            1F601
laughing        1F606
sweat_smile     1F605
joy             1F602
rofl            1F923
smiling         1F642
upside_down     1F643
wink            1F609
blush           1F60A
yum             1F60B
sunglasses      1F60E
heart_eyes      1F60D
kissing_heart   1F618
thinking        1F914
neutral         1F610
expressionless  1F611
no_mouth        1F636
smirk           1F60F
unamused        1F612
roll_eyes       1F644
grimacing       1F62C
relieved        1F60C
pensive         1F614
sleepy          1F62A
sleeping        1F634
mask            1F637
nerd            1F913
confused        1F615
worried         1F61F
frowning        1F641
astonished      1F632
open_mouth      1F62E
scream          1F631
fearful         1F628
cold_sweat      1F630
cry             1F622
sob             1F62D
angry           1F620
rage            1F621
triumph         1F624
shush           1F92B
exploding_head  1F92F
partying        1F973
woozy           1F974
star_struck     1F929
money_face      1F911
cowboy          1F920
clown           1F921
ghost           1F47B
alien           1F47D
robot           1F916
poop            1F4A9
skull           1F480

# ---- hands and people ----
wave            1F44B
thumbs_up       1F44D
thumbs_down     1F44E
ok_hand         1F44C
clap            1F44F
raised_hands    1F64C
pray            1F64F
muscle          1F4AA
point_up        1F446
point_down      1F447
point_left      1F448
point_right     1F449
fist            270A
handshake       1F91D
eyes            1F440
brain           1F9E0

# ---- hearts and symbols ----
heart           2764
orange_heart    1F9E1
yellow_heart    1F49B
green_heart     1F49A
blue_heart      1F499
purple_heart    1F49C
black_heart     1F5A4
white_heart     1F90D
broken_heart    1F494
sparkling_heart 1F496
star            2B50
sparkles        2728
star2           1F31F
zap             26A1
fire            1F525
boom            1F4A5
collision       1F4A2
sweat_drops     1F4A6
dash            1F4A8
music_note      1F3B5
music_notes     1F3B6
bell            1F514
mute            1F515
speech          1F4AC
thought         1F4AD
zzz             1F4A4

# ---- marks ----
check           2705
check_mark      2714
cross           274C
cross_mark      274E
warning         26A0
question        2753
exclamation     2757
info            2139
recycle         267B
radioactive     2622
biohazard       2623
peace           262E
yin_yang        262F
infinity        267E
plus            2795
minus           2796
divide          2797
hundred         1F4AF
o_mark          2B55
no_entry        26D4
prohibited      1F6AB
free            1F193
new             1F195
ok_button       1F197
up_button       1F199
cool_button     1F192

# ---- arrows ----
arrow_up        2B06
arrow_down      2B07
arrow_left      2B05
arrow_right     27A1
arrow_upper_r   2197
arrow_lower_r   2198
arrow_lower_l   2199
arrow_upper_l   2196
arrows_ccw      1F504
arrows_cw       1F503
repeat          1F501
repeat_one      1F502
shuffle         1F500
play            25B6
pause           23F8
stop_button     23F9
record          23FA
fast_forward    23E9
rewind          23EA
eject           23CF

# ---- objects and tech ----
computer        1F4BB
desktop         1F5A5
keyboard        2328
mouse_three     1F5B1
printer         1F5A8
phone           1F4F1
telephone       260E
battery         1F50B
plug            1F50C
bulb            1F4A1
flashlight      1F526
candle          1F56F
camera          1F4F7
video_camera    1F4F9
tv              1F4FA
radio           1F4FB
headphones      1F3A7
microphone      1F3A4
speaker         1F50A
satellite       1F4E1
floppy          1F4BE
cd              1F4BF
dvd             1F4C0
vhs             1F4FC
scroll          1F4DC
page            1F4C4
folder          1F4C1
open_folder     1F4C2
book            1F4D6
books           1F4DA
memo            1F4DD
pencil          270F
pen             1F58A
paperclip       1F4CE
scissors        2702
lock            1F512
unlock          1F513
key             1F511
hammer          1F528
wrench          1F527
screwdriver     1FA9B
gear            2699
nut_and_bolt    1F529
magnet          1F9F2
telescope       1F52D
microscope      1F52C
test_tube       1F9EA
pill            1F48A
syringe         1F489
bomb            1F4A3
gun             1F52B
knife           1F52A
shield          1F6E1
crystal_ball    1F52E
magnifier       1F50D
link            1F517
chains          26D3
package         1F4E6
mailbox         1F4EC
envelope        2709
inbox           1F4E5
outbox          1F4E4
money_bag       1F4B0
dollar          1F4B5
credit_card     1F4B3
chart_up        1F4C8
chart_down      1F4C9
bar_chart       1F4CA
clipboard       1F4CB
calendar        1F4C5
alarm_clock     23F0
stopwatch       23F1
hourglass       231B
watch           231A
trash           1F5D1

# ---- nature and weather ----
sun             2600
cloud           2601
rain            1F327
snow            2744
snowman         26C4
umbrella        2602
rainbow         1F308
